,carat,cut,color,clarity,depth,table,price,x,y,z,predicted_price
235,0.64,5,7,5,61.5,56.0,2787,5.54,5.55,3.41,2916.7834
236,0.7,3,3,7,60.5,60.0,2788,5.74,5.77,3.48,2740.4712
237,0.83,3,2,5,61.1,60.0,2788,6.07,6.1,3.72,3054.777
238,0.76,5,2,6,61.8,56.0,2788,5.85,5.87,3.62,2881.1619
239,0.71,2,7,4,63.3,56.0,2788,5.64,5.68,3.58,3069.882
240,0.77,2,4,5,59.4,64.0,2788,5.97,5.92,3.53,2912.9421
241,0.71,5,5,3,62.5,55.0,2788,5.71,5.65,3.55,2408.4868
242,1.01,1,6,1,64.5,58.0,2788,6.29,6.21,4.03,2885.1958
243,1.01,4,3,2,62.7,59.0,2788,6.31,6.22,3.93,3752.1638
244,0.77,2,5,3,64.2,52.0,2789,5.81,5.77,3.72,2522.4363
245,0.76,2,6,3,63.7,54.0,2789,5.76,5.85,3.7,2795.753
246,0.76,4,6,3,60.4,58.0,2789,5.92,5.94,3.58,2859.0461
247,0.76,4,6,3,61.8,58.0,2789,5.82,5.86,3.61,2898.7642
248,1.05,3,1,2,63.2,56.0,2789,6.49,6.45,4.09,3407.6006
249,0.81,5,4,2,61.6,56.0,2789,5.97,6.01,3.69,2753.4407
250,0.7,5,6,3,61.6,56.0,2789,5.72,5.75,3.53,2870.0173
251,0.55,5,4,8,60.9,57.0,2789,5.28,5.3,3.22,2346.11
252,0.81,2,4,2,61.0,61.0,2789,5.94,5.99,3.64,2443.1877
253,0.63,4,6,6,62.1,57.0,2789,5.48,5.41,3.38,2676.8052
254,0.63,4,6,7,60.9,60.0,2789,5.55,5.52,3.37,3176.3218
255,0.77,4,3,5,61.3,60.0,2789,5.9,5.88,3.61,2887.5977
256,1.05,1,1,2,65.8,59.0,2789,6.41,6.27,4.18,2985.2314
257,0.64,5,4,8,61.3,56.0,2790,5.54,5.58,3.41,3142.435
258,0.76,4,2,7,58.8,59.0,2790,6.0,5.94,3.51,2709.2568
259,0.83,5,5,2,62.3,55.0,2790,6.02,6.05,3.76,2922.7764
260,0.71,4,5,5,60.1,62.0,2790,5.77,5.74,3.46,2996.8083
261,0.71,4,5,5,61.8,59.0,2790,5.73,5.69,3.53,2998.407
262,0.87,3,2,3,63.6,55.8,2791,6.07,6.1,3.87,3084.8591
263,0.73,5,6,3,62.2,56.0,2791,5.74,5.78,3.58,2941.4312
264,0.71,4,6,3,59.2,59.0,2792,5.83,5.86,3.46,2692.8823
265,0.71,4,6,3,61.8,59.0,2792,5.7,5.75,3.54,2645.9116
266,0.71,5,6,3,61.3,55.0,2792,5.72,5.77,3.52,2925.6587
267,0.7,4,5,5,62.1,60.0,2792,5.71,5.65,3.53,2799.556
268,0.7,4,5,5,60.7,60.0,2792,5.78,5.75,3.5,3104.3596
269,0.76,4,3,6,59.6,57.0,2792,5.91,5.86,3.51,2980.4219
270,0.7,5,5,5,62.2,56.0,2792,5.73,5.68,3.55,3093.9448
271,0.79,3,4,3,60.6,57.0,2793,5.98,6.06,3.65,2658.8838
272,0.7,3,6,4,62.9,57.0,2793,5.66,5.69,3.57,2897.0366
273,0.7,2,6,4,64.1,55.0,2793,5.6,5.66,3.61,2650.4326
274,0.76,5,2,4,61.3,56.0,2793,5.87,5.91,3.61,2612.6284
275,0.73,5,3,4,62.7,55.0,2793,5.72,5.76,3.6,2778.2566
276,0.79,3,6,3,63.2,56.0,2794,5.91,5.86,3.72,2992.8928
277,0.71,3,6,4,60.7,56.0,2795,5.81,5.82,3.53,3096.0947
278,0.81,4,2,6,61.9,60.0,2795,5.91,5.86,3.64,2824.2246
279,0.81,5,5,2,62.6,55.0,2795,5.92,5.96,3.72,2832.7422
280,0.72,2,5,5,60.7,60.0,2795,5.74,5.72,3.48,2905.4978
281,0.72,4,7,2,62.0,60.0,2795,5.73,5.69,3.54,2295.5686
282,0.72,4,2,8,63.0,57.0,2795,5.72,5.7,3.6,2644.053
283,0.81,4,3,4,58.0,59.0,2795,6.17,6.13,3.57,2956.4143
284,0.72,4,4,4,62.9,57.0,2795,5.73,5.65,3.58,2565.5789
285,1.0,4,2,2,58.2,60.0,2795,6.61,6.55,3.83,3645.794
286,0.73,2,6,3,63.2,58.0,2796,5.7,5.76,3.62,2664.3533
287,0.81,3,3,2,61.3,59.0,2797,5.94,6.01,3.66,2518.214
288,0.81,3,6,3,60.3,60.0,2797,6.07,6.1,3.67,3338.941
289,0.71,4,7,3,62.7,60.0,2797,5.67,5.71,3.57,2746.4648
290,0.71,4,7,3,61.3,58.0,2797,5.73,5.75,3.52,2787.8914
291,0.71,4,7,3,61.6,60.0,2797,5.74,5.69,3.52,2725.735
292,0.57,5,5,6,61.9,55.0,2797,5.34,5.35,3.31,2348.9058
293,0.51,5,7,7,61.7,56.0,2797,5.12,5.16,3.17,2929.983
294,0.72,5,4,4,61.9,58.0,2797,5.72,5.75,3.55,2967.9856
295,0.74,5,3,5,61.8,58.0,2797,5.77,5.81,3.58,2959.142
296,0.74,5,3,5,61.6,56.0,2797,5.81,5.82,3.58,3030.4727
297,0.7,1,4,7,58.8,66.0,2797,5.81,5.9,3.44,2951.7427
298,0.8,4,5,2,61.0,57.0,2797,6.03,6.01,3.67,2590.8904
299,1.01,1,6,2,67.4,60.0,2797,6.19,6.05,4.13,3315.1511
300,0.8,3,3,4,63.4,60.0,2797,5.92,5.82,3.72,2954.7407
301,0.77,5,2,5,61.5,59.0,2798,5.87,5.91,3.62,2684.8074
302,0.83,3,6,2,58.0,62.0,2799,6.19,6.25,3.61,2999.508
303,0.82,5,5,2,62.4,54.0,2799,5.97,6.02,3.74,2892.0457
304,0.78,5,7,3,61.9,57.0,2799,5.91,5.86,3.64,3213.9998
305,0.6,3,4,8,61.6,56.0,2800,5.43,5.46,3.35,2544.2268
306,0.9,2,2,2,62.2,59.0,2800,6.07,6.11,3.79,2964.5735
307,0.7,4,6,5,62.2,58.0,2800,5.6,5.66,3.5,2916.3396
308,0.9,3,2,2,61.3,56.0,2800,6.17,6.23,3.8,2956.978
309,0.83,5,4,3,62.3,57.0,2800,5.99,6.08,3.76,3174.3123
310,0.83,5,4,3,61.8,57.0,2800,6.03,6.07,3.74,3120.7375
311,0.83,3,3,3,62.5,59.0,2800,5.95,6.02,3.74,2817.1016
312,0.74,4,4,5,62.9,60.0,2800,5.74,5.68,3.59,2733.02
313,0.79,5,2,5,61.8,59.0,2800,5.92,5.95,3.67,2946.713
314,0.61,5,4,8,62.3,56.0,2800,5.43,5.45,3.39,2651.9526
315,0.76,1,4,5,59.0,70.0,2800,5.89,5.8,3.46,2803.3394
316,0.96,5,5,1,60.7,55.0,2801,6.37,6.41,3.88,2843.7756
317,0.73,5,5,4,62.5,55.0,2801,5.8,5.76,3.61,3132.5142
318,0.73,4,5,4,62.7,58.0,2801,5.76,5.7,3.59,2864.5527
319,0.75,5,3,3,60.4,57.0,2801,5.93,5.96,3.59,2658.5168
320,0.71,4,5,4,62.1,58.0,2801,5.7,5.67,3.53,2769.7341
321,0.71,2,5,4,57.8,60.0,2801,5.9,5.87,3.4,2633.2585
322,0.71,2,5,4,63.8,58.0,2801,5.64,5.61,3.59,2593.1511
323,0.71,4,5,4,62.8,57.0,2801,5.69,5.64,3.56,2611.7751
324,1.04,4,4,1,62.2,58.0,2801,6.46,6.41,4.0,2996.087
325,1.0,4,1,2,62.3,58.0,2801,6.45,6.34,3.98,3119.6357
326,0.87,3,4,2,59.9,58.0,2802,6.19,6.23,3.72,3025.7617
327,0.53,5,5,8,61.9,54.0,2802,5.22,5.25,3.24,2682.3235
328,0.72,4,6,4,63.0,55.0,2802,5.79,5.61,3.59,2778.989
329,0.72,4,5,5,62.4,58.0,2802,5.83,5.7,3.6,2989.3025
330,0.7,3,5,4,62.9,58.0,2803,5.63,5.65,3.55,2577.893
331,0.74,3,6,3,63.5,56.0,2803,5.74,5.79,3.66,2765.7798
332,0.71,5,4,4,61.3,56.0,2803,5.75,5.71,3.51,2833.4583
333,0.73,5,6,3,60.6,54.0,2803,5.84,5.89,3.55,3056.9858
334,0.7,2,4,5,65.1,58.0,2803,5.56,5.59,3.63,2604.0876
335,0.71,4,5,4,62.6,58.0,2803,5.7,5.67,3.56,2787.0244
336,0.71,4,5,4,58.0,62.0,2803,5.85,5.81,3.38,2748.3787
337,0.71,4,4,5,62.4,61.0,2803,5.7,5.65,3.54,2664.495
338,0.77,4,4,4,61.3,57.0,2803,5.93,5.88,3.62,2929.82
339,0.71,4,4,4,59.9,60.0,2803,5.81,5.77,3.47,2682.3516
340,0.78,4,4,4,60.8,58.0,2803,6.03,5.95,3.64,2977.3083
341,0.71,3,4,5,63.5,55.0,2803,5.66,5.64,3.59,2644.0762
342,0.91,5,7,2,62.2,57.0,2803,6.21,6.15,3.85,4013.126
343,0.71,3,6,4,63.8,58.0,2804,5.62,5.66,3.6,2793.3948
344,0.71,3,6,4,64.0,57.0,2804,5.66,5.68,3.63,2948.2544
345,0.8,3,6,2,62.5,56.0,2804,5.88,5.96,3.7,2780.0427
